Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2020-10-28T19:50:00Z,HPE,7.602771412,-19,Market,Filled,-144.452656828,Liquidated 
2020-10-28T19:50:00Z,NOV,7.847796075,-19,Market,Filled,-149.108125425,Liquidated 
2020-10-29T19:50:00Z,FTI,3.9823459501353,87,Market,Filled,346.46409766177, 
2020-10-29T19:50:00Z,HPE,7.710867688,23,Market,Filled,177.349956824, 
2020-10-29T19:50:00Z,NOV,7.906288965,22,Market,Filled,173.93835723, 
2020-12-22T05:00:00Z,AIV,4.979175692,-117,Market On Open,Filled,-582.563555964,Liquidated 
2021-02-13T05:00:00Z,FTI,8.396502772,-87,Market On Open,Filled,-730.495741164,Liquidated 
2021-09-21T04:00:00Z,NOV,12.77094765,-22,Market On Open,Filled,-280.9608483,Liquidated 
2021-09-21T04:00:00Z,UNM,21.950900379,-16,Market On Open,Filled,-351.214406064,Liquidated 
2021-12-02T05:00:00Z,AA,27.575823114,-15,Market On Open,Filled,-413.63734671,Liquidated 
2021-12-02T05:00:00Z,AAL,16.49,-15,Market On Open,Filled,-247.35,Liquidated 
2021-12-02T05:00:00Z,AES,21.916478094,-12,Market On Open,Filled,-262.997737128,Liquidated 
2021-12-02T05:00:00Z,AMCR,10.203919323,-44,Market On Open,Filled,-448.972450212,Liquidated 
2021-12-02T05:00:00Z,APA,24.05600736,-64,Market On Open,Filled,-1539.58447104,Liquidated 
2021-12-02T05:00:00Z,BHGE,22.255373822,-16,Market On Open,Filled,-356.085981152,Liquidated 
2021-12-02T05:00:00Z,CCL,16.75,-16,Market On Open,Filled,-268,Liquidated 
2021-12-02T05:00:00Z,COH,36.662527924,-12,Market On Open,Filled,-439.950335088,Liquidated 
2021-12-02T05:00:00Z,CSX,33.480008636,-38,Market On Open,Filled,-1272.240328168,Liquidated 
2021-12-02T05:00:00Z,CTL,11.098737936,-24,Market On Open,Filled,-266.369710464,Liquidated 
2021-12-02T05:00:00Z,DVN,35.107112469,-50,Market On Open,Filled,-1755.35562345,Liquidated 
2021-12-02T05:00:00Z,F,17.475295668,-87,Market On Open,Filled,-1520.350723116,Liquidated 
2021-12-02T05:00:00Z,FCX,35.420064579,-34,Market On Open,Filled,-1204.282195686,Liquidated 
2021-12-02T05:00:00Z,GPS,14.419737976,-57,Market On Open,Filled,-821.925064632,Liquidated 
2021-12-02T05:00:00Z,HAL,20.274816093,-57,Market On Open,Filled,-1155.664517301,Liquidated 
2021-12-02T05:00:00Z,HBAN,13.308699195,-37,Market On Open,Filled,-492.421870215,Liquidated 
2021-12-02T05:00:00Z,HBI,15.26150646,-30,Market On Open,Filled,-457.8451938,Liquidated 
2021-12-02T05:00:00Z,HPE,13.317668388,-23,Market On Open,Filled,-306.306372924,Liquidated 
2021-12-02T05:00:00Z,IVZ,19.646402796,-20,Market On Open,Filled,-392.92805592,Liquidated 
2021-12-02T05:00:00Z,KEY,19.758403069,-19,Market On Open,Filled,-375.409658311,Liquidated 
2021-12-02T05:00:00Z,KIM,20.222921247,-28,Market On Open,Filled,-566.241794916,Liquidated 
2021-12-02T05:00:00Z,KMI,13.317225984,-16,Market On Open,Filled,-213.075615744,Liquidated 
2021-12-02T05:00:00Z,MGM,38.806863312,-20,Market On Open,Filled,-776.13726624,Liquidated 
2021-12-02T05:00:00Z,MOS,33.0151633625,-18,Market On Open,Filled,-594.272940525,Liquidated 
2021-12-02T05:00:00Z,MRO,14.565968748,-141,Market On Open,Filled,-2053.801593468,Liquidated 
2021-12-02T05:00:00Z,NCLH,18.09,-17,Market On Open,Filled,-307.53,Liquidated 
2021-12-02T05:00:00Z,NWL,19.0034208,-13,Market On Open,Filled,-247.0444704,Liquidated 
2021-12-02T05:00:00Z,NWS,20.891394788,-20,Market On Open,Filled,-417.82789576,Liquidated 
2021-12-02T05:00:00Z,NWSA,20.74619704,-19,Market On Open,Filled,-394.17774376,Liquidated 
2021-12-02T05:00:00Z,OXY,27.951243273,-17,Market On Open,Filled,-475.171135641,Liquidated 
2021-12-02T05:00:00Z,PBCT,16.673770476,-14,Market On Open,Filled,-233.432786664,Liquidated 
2021-12-02T05:00:00Z,RF,20.304271526,-22,Market On Open,Filled,-446.693973572,Liquidated 
2021-12-02T05:00:00Z,SYMC,23.420780668,-13,Market On Open,Filled,-304.470148684,Liquidated 
2021-12-02T05:00:00Z,UA,19.64,-26,Market On Open,Filled,-510.64,Liquidated 
2021-12-02T05:00:00Z,UA,23.075,-21,Market On Open,Filled,-484.575,Liquidated 
2021-12-02T05:00:00Z,WMB,23.706032427,-16,Market On Open,Filled,-379.296518832,Liquidated 
2022-02-11T20:50:00Z,CTL,9.426453348,19,Market,Filled,179.102613612, 
2022-02-17T20:50:00Z,CTL,9.164866932,-19,Market,Filled,-174.132471708,Liquidated 
2022-03-01T20:50:00Z,VTRS,9.433680828,19,Market,Filled,179.239935732, 
2022-03-07T20:50:00Z,VTRS,9.191313534,-19,Market,Filled,-174.634957146,Liquidated 
2022-03-08T20:50:00Z,VTRS,9.265888086,19,Market,Filled,176.051873634, 
2022-04-08T19:50:00Z,WW,9.847955877,17,Market,Filled,167.415249909, 
2022-04-26T19:50:00Z,WW,9.584954088,-17,Market,Filled,-162.944219496,Liquidated 
2022-05-02T19:50:00Z,CTL,9.817925328,17,Market,Filled,166.904730576, 
2022-05-03T19:50:00Z,WW,9.711584579,17,Market,Filled,165.096937843, 
2022-05-05T19:50:00Z,WW,8.688799844,-17,Market,Filled,-147.709597348,Liquidated 
2022-05-06T19:50:00Z,WW,9.575213281,18,Market,Filled,172.353839058, 
2022-05-09T19:50:00Z,UA,9.58,17,Market,Filled,162.86, 
2022-05-09T19:50:00Z,WW,8.903097598,-18,Market,Filled,-160.255756764,Liquidated 
2022-05-11T19:50:00Z,UA,9.18,-17,Market,Filled,-156.06,Liquidated 
2022-05-12T19:50:00Z,UA,9.63,17,Market,Filled,163.71, 
2022-05-12T19:50:00Z,WW,7.422494934,29,Market,Filled,215.252353086, 
2022-05-16T19:50:00Z,WW,7.20819718,-29,Market,Filled,-209.03771822,Liquidated 
2022-05-19T19:50:00Z,WW,6.662711988,36,Market,Filled,239.857631568, 
2022-05-19T19:50:00Z,UA,8.17,-17,Market,Filled,-138.89,Liquidated 
2022-05-20T19:50:00Z,UA,8.49,22,Market,Filled,186.78, 
2022-05-20T19:50:00Z,UA,9.62,17,Market,Filled,163.54, 
2022-05-20T19:50:00Z,WW,6.389969392,-36,Market,Filled,-230.038898112,Liquidated 
2022-05-23T19:50:00Z,WW,6.389969392,40,Market,Filled,255.59877568, 
2022-05-24T19:50:00Z,UA,8.24,-22,Market,Filled,-181.28,Liquidated 
2022-05-24T19:50:00Z,UA,9.14,-17,Market,Filled,-155.38,Liquidated 
2022-05-24T19:50:00Z,WW,6.010077919,-40,Market,Filled,-240.40311676,Liquidated 
2022-05-25T19:50:00Z,WW,6.214634866,42,Market,Filled,261.014664372, 
2022-06-10T19:50:00Z,UA,9.36,18,Market,Filled,168.48, 
2022-06-11T04:00:00Z,UA,9,-18,Market On Open,Filled,-162,Liquidated 
